,time step,fitness,xpos,ypos,num col
0,15.120000000000001,0,,,
1,15.16,0,,,
2,15.200000000000001,0,,,
3,30.32,0,,,
4,30.36,0,,,
5,30.400000000000002,0,,,
6,45.56,0,,,
7,45.6,0,,,
8,45.64,0,,,
9,60.800000000000004,0,,,
10,60.84,0,,,
11,60.88,0,,,
12,76.04,0,,,
13,76.08,0,,,
14,76.12,0,,,
15,91.28,0,,,
16,91.32000000000001,0,,,
17,91.36,0,,,
18,106.52,0,,,
19,106.56,0,,,
20,106.60000000000001,0,,,
21,121.76,0,,,
22,121.8,0,,,
23,121.84,0,,,
24,137.0,0,,,
25,137.04,0,,,
26,137.08,0,,,
27,152.24,0,,,
28,152.28,0,,,
29,152.32,0,,,
30,167.48,0,,,
31,167.52,0,,,
32,167.56,-2,,,
33,182.72,0,,,
34,182.76,0,,,
35,182.8,-3,,,
36,197.96,0,,,
37,198.0,0,,,
38,198.04,-2,,,
39,213.20000000000002,0,,,
40,213.24,0,,,
41,213.28,-2,,,
42,228.44,0,,,
43,228.48000000000002,0,,,
44,228.52,-1,,,
45,243.68,0,,,
46,243.72,0,,,
47,243.76,-1,,,
48,258.92,0,,,
49,258.96,0,,,
50,259.0,0,,,
51,274.16,0,,,
52,274.2,0,,,
53,274.24,-2,,,
54,289.40000000000003,0,,,
55,289.44,0,,,
56,289.48,-1,,,
57,304.64,0,,,
58,304.68,0,,,
59,304.72,-19,,,
60,319.88,0,,,
61,319.92,0,,,
62,319.96,0,,,
63,335.12,0,,,
64,335.16,4,,,
65,335.2,0,,,
66,350.36,0,,,
67,350.40000000000003,2,,,
68,350.44,0,,,
69,365.6,0,,,
70,365.64,-1,,,
71,365.68,-1,,,
72,380.84000000000003,0,,,
73,380.88,-2,,,
74,380.92,-2,,,
75,396.04,0,,,
76,396.08,-3,,,
77,396.12,0,,,
78,411.28000000000003,0,,,
79,411.32,-1,,,
80,411.36,0,,,
81,426.52,0,,,
82,426.56,-4,,,
83,426.6,-1,,,
84,308.2,0,,,
85,308.24,11,,,
86,308.28000000000003,-9,,,
87,308.44,0,,,
88,308.48,0,,,
89,308.52,0,,,
90,308.68,0,,,
91,308.72,0,,,
92,308.76,0,,,
93,308.92,0,,,
94,308.96,0,,,
95,309.0,0,,,
96,309.16,0,,,
97,309.2,0,,,
98,309.24,0,,,
99,309.40000000000003,0,,,
100,309.44,0,,,
101,309.48,0,,,
102,309.64,0,,,
103,309.68,0,,,
104,309.72,0,,,
105,309.88,0,,,
106,309.92,0,,,
107,309.96,0,,,
108,310.12,0,,,
109,310.16,0,,,
110,310.2,0,,,
111,325.36,0,,,
112,325.40000000000003,-2,,,
113,325.44,-10,,,
114,340.6,0,,,
115,340.64,0,,,
116,340.68,0,,,
117,355.84000000000003,0,,,
118,355.88,0,,,
119,355.92,-1,,,
120,371.08,0,,,
121,371.12,-1,,,
122,371.16,-1,,,
123,386.32,0,,,
124,386.36,0,,,
125,386.40000000000003,0,,,
126,401.56,0,,,
127,401.6,-1,,,
128,401.64,-1,,,
129,416.8,0,,,
130,416.84000000000003,-4,,,
131,416.88,-2,,,
132,432.04,0,,,
133,432.08,-1,,,
134,432.12,-1,,,
135,447.28000000000003,0,,,
136,447.32,-3,,,
137,447.36,0,,,
138,462.52,0,,,
139,462.56,5,,,
140,462.6,-23,,,
141,465.56,0,,,
142,465.6,0,,,
143,465.64,4,,,
144,465.8,0,,,
145,465.84000000000003,0,,,
146,465.88,1,,,
147,466.04,0,,,
148,466.08,0,,,
149,466.12,0,,,
150,466.28000000000003,0,,,
151,466.32,0,,,
152,466.36,0,,,
153,466.52,0,,,
154,466.56,0,,,
155,466.6,0,,,
156,466.76,0,,,
157,466.8,0,,,
158,466.84000000000003,0,,,
159,467.0,0,,,
160,467.04,0,,,
161,467.08,0,,,
162,467.24,0,,,
163,467.28000000000003,0,,,
164,467.32,0,,,
165,482.48,-3,,,
166,482.52,-15,,,
167,482.56,-21,,,
168,497.72,0,,,
169,497.76,-1,,,
170,497.8,0,,,
171,512.96,0,,,
172,513.0,-4,,,
173,513.04,-2,,,
174,528.2,-2,,,
175,528.24,-2,,,
176,528.28,-1,,,
177,543.44,-1,,,
178,543.48,-1,,,
179,543.52,-1,,,
180,558.6800000000001,-1,,,
181,558.72,0,,,
182,558.76,-1,,,
183,573.92,-2,,,
184,573.96,-4,,,
185,574.0,-1,,,
186,589.16,-1,,,
187,589.2,-3,,,
188,589.24,-1,,,
189,604.4,-3,,,
190,604.44,-1,,,
191,604.48,-1,,,
192,371.0,-2,,,
193,371.04,8,,,
194,371.08,-11,,,
195,371.24,0,,,
196,371.28000000000003,0,,,
197,371.32,0,,,
198,371.48,0,,,
199,371.52,0,,,
200,371.56,0,,,
201,371.72,0,,,
202,371.76,0,,,
203,371.8,0,,,
204,371.96,0,,,
205,372.0,0,,,
206,372.04,0,,,
207,372.2,0,,,
208,372.24,0,,,
209,372.28000000000003,0,,,
210,372.44,0,,,
211,372.48,0,,,
212,372.52,0,,,
213,372.68,0,,,
214,372.72,0,,,
215,372.76,0,,,
216,372.92,0,,,
217,372.96,0,,,
218,373.0,0,,,
219,310.72,8,,,
220,310.76,3,,,
221,310.8,-13,,,
222,310.96,0,,,
223,311.0,0,,,
224,311.04,0,,,
225,311.2,0,,,
226,311.24,0,,,
227,311.28000000000003,0,,,
228,311.44,0,,,
229,311.48,0,,,
230,311.52,0,,,
231,311.68,0,,,
232,311.72,0,,,
233,311.76,0,,,
234,311.92,0,,,
235,311.96,0,,,
236,312.0,0,,,
237,312.16,0,,,
238,312.2,0,,,
239,312.24,0,,,
240,312.40000000000003,0,,,
241,312.44,0,,,
242,312.48,0,,,
243,312.64,0,,,
244,312.68,0,,,
245,312.72,0,,,
246,327.88,0,,,
247,327.92,-2,,,
248,327.96,-19,,,
249,343.12,0,,,
250,343.16,0,,,
251,343.2,0,,,
252,358.36,0,,,
253,358.40000000000003,-1,,,
254,358.44,-4,,,
255,373.6,0,,,
256,373.64,0,,,
257,373.68,-4,,,
258,388.84000000000003,0,,,
259,388.88,0,,,
260,388.92,-1,,,
261,404.08,0,,,
262,404.12,-1,,,
263,404.16,-4,,,
264,419.32,0,,,
265,419.36,-2,,,
266,419.40000000000003,-4,,,
267,434.56,0,,,
268,434.6,-1,,,
269,434.64,0,,,
270,449.8,0,,,
271,449.84000000000003,0,,,
272,449.88,-2,,,
273,465.04,-1,,,
274,465.08,-1,,,
275,465.12,-19,,,
276,480.28000000000003,-1,,,
277,480.32,-1,,,
278,480.36,0,,,
279,495.52000000000004,0,,,
280,495.56,0,,,
281,495.6,-4,,,
282,510.76,-1,,,
283,510.8,-3,,,
284,510.84000000000003,0,,,
285,526.0,-2,,,
286,526.04,-2,,,
287,526.08,-4,,,
288,541.24,-1,,,
289,541.28,-2,,,
290,541.32,-2,,,
291,556.48,-2,,,
292,556.52,-1,,,
293,556.5600000000001,-2,,,
294,571.72,0,,,
295,571.76,-1,,,
296,571.8000000000001,-1,,,
297,586.96,0,,,
298,587.0,-1,,,
299,587.04,-2,,,
300,602.2,-1,,,
301,602.24,-28,,,
302,602.28,-39,,,
303,617.44,-3,,,
304,617.48,-1,,,
305,617.52,-4,,,
306,632.6800000000001,0,,,
307,632.72,-2,,,
308,632.76,0,,,
309,647.92,-2,,,
310,647.96,-1,,,
311,648.0,-2,,,
312,663.16,-1,,,
313,663.2,-1,,,
314,663.24,-3,,,
315,678.4,-1,,,
316,678.44,-1,,,
317,678.48,0,,,
318,693.64,-1,,,
319,693.6800000000001,-1,,,
320,693.72,-3,,,
321,708.88,-2,,,
322,708.92,0,,,
323,708.96,0,,,
324,724.12,-1,,,
325,724.16,-1,,,
326,724.2,-1,,,
327,710.28,-9,,,
328,710.32,-23,,,
329,710.36,-50,,,
330,710.52,0,,,
331,710.5600000000001,1,,,
332,710.6,0,,,
333,710.76,0,,,
334,710.8000000000001,0,,,
335,710.84,0,,,
336,711.0,0,,,
337,711.04,0,,,
338,711.08,0,,,
339,711.24,0,,,
340,711.28,0,,,
341,711.32,0,,,
342,711.48,0,,,
343,711.52,0,,,
344,711.5600000000001,0,,,
345,711.72,0,,,
346,711.76,0,,,
347,711.8000000000001,0,,,
348,711.96,0,,,
349,712.0,0,,,
350,712.04,0,,,
351,712.2,0,,,
352,712.24,0,,,
353,712.28,0,,,
354,727.44,-3,,,
355,727.48,-26,,,
356,727.52,-46,,,
357,742.6800000000001,-1,,,
358,742.72,-1,,,
359,742.76,-5,,,
360,757.92,0,,,
361,757.96,-5,,,
362,758.0,-1,,,
363,773.16,-1,,,
364,773.2,-3,,,
365,773.24,-1,,,
