trial,time,objects retrieved,size,type,potential time
0,215.54,1,5,ga,20
1,416.89,3,5,ga,20
2,618.1,2,5,ga,20
3,819.38,1,5,ga,20
4,1020.69,0,5,ga,20
5,1222.2,2,5,ga,20
6,1423.3600000000001,0,5,ga,20
7,1624.63,2,5,ga,20
8,1825.48,0,5,ga,20
9,2026.17,3,5,ga,20
10,2227.44,1,5,ga,20
11,2428.04,0,5,ga,20
12,2629.4500000000003,1,5,ga,20
13,2830.83,0,5,ga,20
14,3031.53,1,5,ga,20
15,3232.88,1,5,ga,20
16,3433.4700000000003,1,5,ga,20
17,3634.7200000000003,2,5,ga,20
18,3835.9900000000002,1,5,ga,20
19,4037.09,0,5,ga,20
20,4238.21,1,5,ga,20
21,4439.37,2,5,ga,20
22,4640.47,1,5,ga,20
23,4841.49,3,5,ga,20
24,5042.6,0,5,ga,20
25,5243.75,1,5,ga,20
26,5444.86,1,5,ga,20
27,5646.1,1,5,ga,20
28,5847.39,0,5,ga,20
29,6047.88,0,5,ga,20
