agent id,time step,trial,size,genotype
0,30.1,-1,5,[]
2,30.1,-1,5,[]
3,30.1,-1,5,[]
1,30.1,-1,5,[]
4,30.1,-1,5,[]
0,60.14,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
1,60.14,-1,5,['1011000010', '00100', '110100111110001001010110001000', '10101', '']
2,60.14,-1,5,['1010010010', '10001', '111011011110010000000001110101', '01010', '']
3,60.14,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
4,60.14,-1,5,['0011111000', '11001', '000111110000101011100110011011', '01111', '']
3,90.18,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
0,90.18,-1,5,['1001111000', '00101', '110100111110001001010110011011', '10101', '']
2,90.18,-1,5,['1010010010', '10001', '111011011110010000000001110101', '01010', '']
1,90.18,-1,5,['1001111000', '00101', '110100111110001001010110011011', '10101', '']
4,90.18,-1,5,['0011111000', '11001', '000111110000101011100110011011', '01111', '']
1,120.22,-1,5,['1001000010', '10100', '001100100001010001100110001000', '01101', '']
0,120.22,-1,5,['1001000010', '10100', '001100100001010001100110001000', '01101', '']
2,120.22,-1,5,['1001000010', '10100', '001100100001010001100110001000', '01101', '']
3,120.22,-1,5,['1001000010', '10100', '001100100001010001100110001000', '01101', '']
4,120.22,-1,5,['1001000010', '10100', '001100100001010001100110001000', '01101', '']
1,150.26,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
3,150.26,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
2,150.26,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,150.26,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
4,150.26,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,180.3,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
1,180.3,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
3,180.3,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
2,180.3,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
4,180.3,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
1,210.34,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,210.34,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
2,210.34,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
3,210.34,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
4,210.34,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,240.38,-1,5,['1011111100', '10111', '001100100001010001100100011010', '11101', '']
3,240.38,-1,5,['1011111100', '10111', '001100100001010001100100011010', '11101', '']
2,240.38,-1,5,['1011111100', '10111', '001100100001010001100100011010', '11101', '']
1,240.38,-1,5,['1011111100', '10111', '001100100001010001100100011010', '11101', '']
4,240.38,-1,5,['1011111100', '10111', '001100100001010001100100011010', '11101', '']
