agent id,time step,trial,size,genotype
0,60.14,-1,5,['0011010010', '11001', '000111110000101011100101110101', '01110', '']
2,60.14,-1,5,['1001010010', '10101', '001100100001010001100101110101', '01100', '']
1,60.14,-1,5,['1001010010', '10101', '001100100001010001100101110101', '01100', '']
3,60.14,-1,5,['1110010010', '11001', '000001101100100011010001110101', '00000', '']
4,60.14,-1,5,['0011010010', '11001', '000111110000101011100101110101', '01110', '']
2,90.18,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,90.18,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
3,90.18,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
1,90.18,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
4,90.18,-1,5,['1011111100', '10111', '001100100001010001100100011010', '01101', '']
0,60.14,-1,5,['1011000010', '00100', '110100111110001001010110001000', '10101', '']
1,60.14,-1,5,['1011000010', '00100', '110100111110001001010110001000', '10101', '']
2,60.14,-1,5,['1010010010', '10001', '111011011110010000000001110101', '01010', '']
3,60.14,-1,5,['1100000010', '11000', '000001101100100111010010001000', '00001', '']
4,60.14,-1,5,['0001001111', '11010', '000111110000101111100101110100', '01110', '']
0,90.18,-1,5,['1011000010', '00100', '110100111110001001010110001000', '10101', '']
1,90.18,-1,5,['1011000010', '00100', '110100111110001001010110001000', '10101', '']
2,90.18,-1,5,['1010010010', '10001', '111011011110010000000001110101', '01010', '']
3,90.18,-1,5,['1100000010', '11000', '000001101100100111010010001000', '00001', '']
4,90.18,-1,5,['0001001111', '11010', '000111110000101111100101110100', '01110', '']
0,120.22,-1,5,['1001001111', '10110', '001100100001010001100101110100', '01100', '']
2,120.22,-1,5,['1001001111', '10110', '001100100001010001100101110100', '01100', '']
1,120.22,-1,5,['1001001111', '10110', '001100100001010001100101110100', '01100', '']
3,120.22,-1,5,['1001001111', '10110', '001100100001010001100101110100', '01100', '']
4,120.22,-1,5,['1001001111', '10110', '001100100001010001100101110100', '01100', '']
0,30.14,0,5,['1110010011', '00011', '000000001110011001110110100010', '11000', '']
1,30.14,0,5,['0001111001', '10110', '100000011001001101100110001000', '01101', '']
2,30.14,0,5,['1100000011', '10101', '001000001101000010111110000101', '00001', '']
3,30.14,0,5,['1100001100', '10110', '001110001011000110011010101011', '00000', '']
4,30.14,0,5,['1111111001', '01000', '111011000111011101001010001100', '10011', '']
1,45.18,1,5,['0001111001', '10110', '100000011001001101100110001000', '01101', '']
0,45.18,1,5,['1110010011', '00011', '000000001110011001110110100010', '11000', '']
2,45.18,1,5,['1100000011', '10101', '001000001101000010111110000101', '00001', '']
3,45.18,1,5,['1100001100', '10110', '001110001011000110011010101011', '00000', '']
4,45.18,1,5,['1111111001', '01000', '111011000111011101001010001100', '10011', '']
0,30.14,0,5,['1110010011', '00011', '000000001110011001110110100010', '11000', '']
1,30.14,0,5,['0001111001', '10110', '100000011001001101100110001000', '01101', '']
2,30.14,0,5,['1100000011', '10101', '001000001101000010111110000101', '00001', '']
3,30.14,0,5,['1100001100', '10110', '001110001011000110011010101011', '00000', '']
4,30.14,0,5,['1111111001', '01000', '111011000111011101001010001100', '10011', '']
0,60.14,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
1,60.14,-1,5,['1001111000', '00101', '110100111110001101010110011011', '10101', '']
3,60.14,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
2,60.14,-1,5,['1000111000', '10001', '111011011110010100000010011011', '01011', '']
4,60.14,-1,5,['0001001111', '11010', '000111110000101111100101110100', '01110', '']
0,90.18,-1,5,['0011111100', '11011', '000111110000101011100100011010', '01111', '']
1,90.18,-1,5,['1001111000', '00101', '110100111110001101010110011011', '10101', '']
3,90.18,-1,5,['1110111000', '11001', '000001101100100011010010011011', '00001', '']
2,90.18,-1,5,['1000111000', '10001', '111011011110010100000010011011', '01011', '']
4,90.18,-1,5,['0011111100', '11011', '000111110000101011100100011010', '01111', '']
