agent id,time step,trial,size,genotype
6,30.1,0,10,[]
2,30.1,0,10,[]
4,30.1,0,10,[]
8,30.1,0,10,[]
9,30.1,0,10,[]
1,30.1,0,10,[]
7,30.1,0,10,[]
0,30.1,0,10,[]
5,30.1,0,10,[]
3,30.1,0,10,[]
8,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,60.14,0,10,['0101111010', '00000', '101100110111010110011000101111', '01111', '']
9,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
6,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
7,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
5,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,60.14,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,90.18,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
0,90.18,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
1,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
7,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
8,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
5,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
6,90.18,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,120.22,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
2,120.22,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
6,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
5,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,120.22,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
7,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
8,120.22,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,150.26,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
6,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
7,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
5,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,150.26,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
8,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,150.26,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,150.26,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
0,180.3,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
6,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,180.3,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
8,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,180.3,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
3,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
7,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
5,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,180.3,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
6,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,210.34,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
5,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,210.34,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
7,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
8,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,210.34,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
4,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,210.34,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,240.38,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
7,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
3,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
8,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,240.38,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
5,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,240.38,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
6,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
4,240.38,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
0,270.42,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
3,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
1,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
7,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
8,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
9,270.42,0,10,['0110110011', '01001', '110111001110111111101001101110', '00010', '']
4,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
6,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
2,270.42,0,10,['0000111010', '01100', '011100001000011110110010110101', '01011', '']
5,270.42,0,10,['0011110000', '01101', '100001110010011111000100110111', '11110', '']
