agent id,time step, time since last block,size,collisions,type,collected,pos x,pos y
0,30.07,0,10,0,levy,1,0.023382751862737396,-0.7283785539596256
1,30.07,0,10,1,levy,0,-0.04205544323464176,-0.018006128212104313
2,30.07,0,10,6,levy,0,-0.04560791404178048,-0.08858355290573006
3,30.07,0,10,1,levy,0,0.15883358062182956,-0.4207979898140852
5,30.07,0,10,0,levy,0,0.4269154065941093,0.055403047963695884
4,30.07,0,10,3,levy,0,-0.0370109512958925,-0.15491610368698913
6,30.07,0,10,1,levy,1,0.47428466073090064,-0.4649504521407865
8,30.07,0,10,1,levy,0,-0.2127657475630912,-0.16048536776407465
7,30.07,0,10,0,levy,0,0.5468273813903928,0.2860856030161717
9,30.07,0,10,2,levy,0,-0.13743776629999782,-0.8107688510407509
1,60.11,0,10,1,levy,0,-0.3402624672327023,-0.0170839953347169
2,60.11,0,10,0,levy,0,-0.9308268914530357,-0.06370403469269253
3,60.11,0,10,0,levy,0,0.3637111088343466,-0.3726722663297012
0,60.11,0,10,1,levy,1,0.011632574337833703,-0.4827846275369154
4,60.11,0,10,0,levy,0,-0.17063910318793094,-0.8146147144931376
6,60.11,0,10,0,levy,1,0.0876196058444008,-0.03126904092195084
5,60.11,0,10,1,levy,0,0.9101435017496569,0.15503756224617318
7,60.11,0,10,1,levy,0,0.41320612702394355,0.30609592556122966
8,60.11,0,10,1,levy,0,-0.256726739014897,-0.029664084943635503
9,60.11,0,10,0,levy,0,0.21608399651365381,-0.8522493815490918
1,90.15,0,10,0,levy,0,-0.2107722489851999,0.01984957829563855
2,90.15,0,10,2,levy,0,-0.0033036551134199314,-0.04051964952639158
3,90.15,0,10,2,levy,0,0.16081527367908227,-0.010333421134997852
4,90.15,0,10,0,levy,0,-0.05829951863230946,-0.15263727412834735
0,90.15,0,10,1,levy,1,0.020857040516353016,-0.030164243354186018
5,90.15,0,10,2,levy,0,0.20077628653395269,0.09979899434484497
6,90.15,0,10,1,levy,1,0.19910263184128518,-0.14971427097497364
7,90.15,0,10,2,levy,0,-0.09776893013199302,0.23135258571997414
8,90.15,0,10,1,levy,0,-0.23924093600443824,-0.22966222811194642
9,90.15,0,10,1,levy,0,-0.0798992483835956,-0.06106627853416397
0,120.19,0,10,2,levy,0,0.05534932422925532,0.07222649133546365
1,120.19,0,10,0,levy,0,-0.22802653392060243,0.016433543610051088
2,120.19,0,10,0,levy,0,-0.029156840586195214,-0.8156078040639962
5,120.19,0,10,0,levy,0,0.9184213519774709,0.20327525563809098
3,120.19,0,10,2,levy,0,-0.14917736031183645,0.005371521282495943
4,120.19,0,10,1,levy,0,0.10580012327606621,-0.5701440200824134
6,120.19,0,10,1,levy,0,0.19695024661385704,0.297679571527601
7,120.19,0,10,0,levy,0,0.0165526237852228,0.8257585519019097
8,120.19,0,10,1,levy,0,-0.4537321086275143,-0.4239108319577228
9,120.19,0,10,3,levy,0,-0.13602517608256395,-0.11104282071147459
1,150.23,0,10,0,levy,0,-0.2288416788111639,0.015808187729427027
2,150.23,0,10,1,levy,0,0.908726014299684,-0.7625146590135868
0,150.23,0,10,0,levy,0,0.054691074989675896,0.07193767964961043
3,150.23,0,10,0,levy,0,-0.14987043016375645,0.0051580441029687755
5,150.23,0,10,3,levy,0,0.9090941252241576,0.26247742313512307
4,150.23,0,10,0,levy,0,-0.3617925197470407,-0.11911970612997913
7,150.23,0,10,0,levy,0,0.5009453192215216,0.8239438433562402
6,150.23,0,10,1,levy,1,0.11300119347748544,0.17799917938879933
8,150.23,0,10,0,levy,0,-0.38015269297286125,-0.9108332311032094
9,150.23,0,10,1,levy,1,-0.9908617024513781,-0.10747832904653742
1,180.27,0,10,0,levy,0,-0.21089301864390794,0.02006866496321761
0,180.27,0,10,0,levy,0,0.025027093553197308,-0.02866059954096949
3,180.27,0,10,0,levy,0,0.15901691535413484,-0.009859619127947389
2,180.27,0,10,1,levy,0,-0.0047134752517454135,-0.04448334325203282
4,180.27,0,10,0,levy,0,-0.05577817888844097,-0.14998354328954366
5,180.27,0,10,1,levy,0,0.20087100201428773,0.1002448376261353
6,180.27,0,10,2,levy,1,0.19983995222622836,-0.1495390609690012
7,180.27,0,10,2,levy,0,-0.09938749009701049,0.23047052498634477
8,180.27,0,10,1,levy,0,-0.2402641934991264,-0.23035855762234414
9,180.27,0,10,0,levy,1,-0.08095971969507752,-0.06001003898887135
