agent id,time step, time since last block,size,collisions,type,collected
0,10.07,0,5,0,pso-pugh,0
1,10.07,0,5,0,pso-pugh,0
2,10.07,0,5,2,pso-pugh,0
4,10.07,0,5,0,pso-pugh,0
3,10.07,0,5,0,pso-pugh,0
0,20.11,0,5,0,pso-pugh,0
2,20.11,0,5,0,pso-pugh,0
3,20.11,0,5,0,pso-pugh,0
1,20.11,0,5,0,pso-pugh,0
4,20.11,0,5,1,pso-pugh,0
0,30.150000000000002,0,5,0,pso-pugh,0
1,30.150000000000002,0,5,0,pso-pugh,0
2,30.150000000000002,0,5,0,pso-pugh,0
3,30.150000000000002,0,5,0,pso-pugh,0
4,30.150000000000002,0,5,0,pso-pugh,1
0,40.19,0,5,0,pso-pugh,0
2,40.19,0,5,1,pso-pugh,0
3,40.19,0,5,1,pso-pugh,0
1,40.19,0,5,1,pso-pugh,0
4,40.19,0,5,0,pso-pugh,1
2,50.230000000000004,0,5,0,pso-pugh,0
1,50.230000000000004,0,5,1,pso-pugh,0
0,50.230000000000004,0,5,1,pso-pugh,0
3,50.230000000000004,0,5,2,pso-pugh,0
4,50.230000000000004,0,5,0,pso-pugh,1
1,60.27,0,5,0,pso-pugh,0
2,60.27,0,5,2,pso-pugh,0
0,60.27,0,5,2,pso-pugh,0
3,60.27,0,5,0,pso-pugh,0
4,60.27,0,5,0,pso-pugh,1
